Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,690,Implementation Projects,L,"Munir,Arslan",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,,,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,M,"Robby,-",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,N,"Ranganath,Venkatesh",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,O,"Prabhakar,Pavithra",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,P,"Vasserman,Eugene Y",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,Q,"Weese,Joshua Levi",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,705,Programming Lang,A,"Amtoft,Torben",No Special Consent Required,25, ,8/20/2018,12/7/2018,DUF1107,8:30 AM,9:20 AM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,706,Translator Design 1,A,"Robby,-",No Special Consent Required,15,,8/20/2018,12/7/2018,K214,1:05 PM,2:20 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,721,Real-Time Systems,A,"Neilsen,Mitchell L",No Special Consent Required,40, ,8/20/2018,12/7/2018,DUE1116,9:30 AM,10:20 AM,Y,N,Y,N,Y,N,N,3,3,LEC
CIS,721,Real-Time Systems,ZA,"Neilsen,Mitchell L",No Special Consent Required,30, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,LEC
CIS,730,Artificial Intellign,A,"Hsu,William Henry",No Special Consent Required,20, ,8/20/2018,12/7/2018,JU109,9:30 AM,10:20 AM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,730,Artificial Intellign,ZA,"Hsu,William Henry",No Special Consent Required,20, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,REC
